2025-12-13 16:26:36 | Gian | ID202512011709 | Moses Bonanza Slot Machine | SPIN_RESULT | 2000.00 | 6160.00
2025-12-13 16:26:43 | Gian | ID202512011709 | Moses Bonanza Slot Machine | SPIN_RESULT | 7000.00 | 13160.00
2025-12-13 16:28:13 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -5000.00 | 5000.00
2025-12-13 16:28:13 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 5000.00
2025-12-13 16:28:20 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -1000.00 | 4000.00
2025-12-13 16:28:20 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 4000.00
2025-12-13 16:28:26 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -1000.00 | 3000.00
2025-12-13 16:28:26 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 3000.00
2025-12-13 16:28:31 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | -1000.00 | 2000.00
2025-12-13 16:28:31 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 0.00 | 2000.00
2025-12-13 16:28:38 | mjherms | ID202511271837 | Moses Bonanza Slot Machine | SPIN_RESULT | 2000.00 | 4000.00
